"DOTA_Tooltip_Ability_item_sanya_flask"	        "Лечебное варево"
"DOTA_Tooltip_Ability_item_sanya_flask_Description" "<h1>Активное: Глоток</h1> Каждый глоток исцеляет владельца на 60%% максимального здоровья в течение %duration% секунд. Если во время исцеления был получен урон, исцеление прерывается. Магия этой бутыли в том, что ты восполняешь один заряд после каждой выигранной битвы."
"DOTA_Tooltip_Ability_item_sanya_flask_Note0" ""
"DOTA_Tooltip_Ability_item_sanya_flask_Lore" "Панда-пивовар стала живой легендой королевства благодаря своим настойкам, рецеп каждой был крапотливо выверен Пандой и держится в строжайшем секрете. Даже лучшие из алхимиков годами ломали головы, чтобы разгадать секрет чудотворных эффектов этих отваров. Повезло, что один из них теперь твой!"

"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_1"	        "Лечебное варево I"
"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_1_Description" "<h1>Активное: Глоток</h1> Каждый глоток исцеляет владельца на 60%% максимального здоровья в течение %duration% секунд. Если во время исцеления был получен урон, исцеление прерывается. Магия этой бутыли в том, что ты восполняешь один заряд после каждой выигранной битвы."
"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_1_Note0" ""
"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_1_Lore" "Панда-пивовар стала живой легендой королевства благодаря своим настойкам, рецеп каждой был крапотливо выверен Пандой и держится в строжайшем секрете. Даже лучшие из алхимиков годами ломали головы, чтобы разгадать секрет чудотворных эффектов этих отваров. Повезло, что один из них теперь твой!"

"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_2"	        "Лечебное варево II"
"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_2_Description" "<h1>Активное: Стремительный Глоток</h1> Каждый глоток исцеляет владельца на 60%% максимального здоровья в течение %duration% секунд, а также ускоряет на %msBuff% на %buffDuration% секунд. Если во время исцеления был получен урон, исцеление прерывается. Магия этой бутыли в том, что ты восполняешь один заряд после каждой выигранной битвы."
"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_2_Note0" ""
"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_2_Lore" "Панда-пивовар стала живой легендой королевства благодаря своим настойкам, рецеп каждой был крапотливо выверен Пандой и держится в строжайшем секрете. Даже лучшие из алхимиков годами ломали головы, чтобы разгадать секрет чудотворных эффектов этих отваров. Повезло, что один из них теперь твой!"

"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_3"	        "Лечебное варево III"
"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_3_Description" "<h1>Активное: Стремительный Глоток</h1> Каждый глоток исцеляет владельца на 60%% максимального здоровья в течение %duration% секунд, а также ускоряет на %msBuff% на %buffDuration% секунд. Если во время исцеления был получен урон, исцеление прерывается. Магия этой бутыли в том, что ты восполняешь один заряд после каждой выигранной битвы."
"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_3_Note0" ""
"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_3_Lore" "Панда-пивовар стала живой легендой королевства благодаря своим настойкам, рецеп каждой был крапотливо выверен Пандой и держится в строжайшем секрете. Даже лучшие из алхимиков годами ломали головы, чтобы разгадать секрет чудотворных эффектов этих отваров. Повезло, что один из них теперь твой!"

"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_4"	        "Лечебное варево IV"
"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_4_Description" "<h1>Активное: Стремительный и Ловкий Глоток</h1> Каждый глоток исцеляет владельца на 60%% максимального здоровья в течение %duration% секунд, а также ускоряет на %msBuff% на %msBuffDuration% секунд и дает %evadePercent%%% универсального уклонения на %evadeBuffDuration% секунд. Если во время исцеления был получен урон, исцеление прерывается. Магия этой бутыли в том, что ты восполняешь один заряд после каждой выигранной битвы."
"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_4_Note0" ""
"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_4_Lore" "Панда-пивовар стала живой легендой королевства благодаря своим настойкам, рецеп каждой был крапотливо выверен Пандой и держится в строжайшем секрете. Даже лучшие из алхимиков годами ломали головы, чтобы разгадать секрет чудотворных эффектов этих отваров. Повезло, что один из них теперь твой!"

"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_5"	        "Лечебное варево V"
